Name,Organization,Type,Location,Latitude,Longitude,Bands,Antenna,Elevation
Mount Jackson Teleport,Telesat,Company,"Mount Jackson, Virginia, USA",38.7459482,-78.6422377,"Ku, Ka",Parabolic Dish,278.0
Goonhilly Earth Station,SES S.A.,Company,"Goonhilly Downs, Cornwall, United Kingdom",50.0481728,-5.1810449,"S, X, Ka",Parabolic Dish,109.0
NOI Techpark Ground Station,NOI Techpark,Research Institution,"Bolzano, Italy",46.4785907,11.3325921,,Parabolic Dish,249.0
ISU Communications Lab Ground Station,Iowa State University,University,"Ames, Iowa, USA",42.0307812,-93.6319131,,Yagi-Uda,280.0
ORION Space Ground Station,ORION Space,Company,"Kathmandu, Nepal",27.6697273,85.3660144,,Unknown,1307.0
Wahiawa Ground Station,IRIDIUM,Company,"Wahiawa, Hawaii, USA",21.4959617,-158.0297748,"L, Ka",Parabolic Dish,277.0
Gerolstein Ground Station,Airbus Defence and Space,Company,"Gerolstein, Germany",50.2237208,6.6604956,"C, X, Ku",Parabolic Dish,361.0
Nemea,INMARSAT,Company,"Nemea, Greece",37.82133,22.660998,"L, Ka",Parabolic Dish,311.0
National Center for Space Research and Technology Ground Station,National Center for Space Research and Technology,Research Institution,Kazakhstan,48.019573,66.923684,"S, X",Unknown,477.0
Institute of the Ionosphere Ground Station,Institute of the Ionosphere,Research Institution,Kazakhstan,48.019573,66.923684,,Callisto radio spectrometer (eC37),477.0
USM CubeSat Ground Station,University of Southern Maine (USM),University,"Gorham, Maine, USA",43.725107,-70.5260124,,Unknown,96.0
Clarkson University Ground Station (Potential),Clarkson University,University,"Potsdam, New York, USA",44.6639493,-74.9990832,,Unknown,148.0
Airbus Defence and Space Direct Receiving Station,Airbus Defence and Space,Company,Poland (Exact location undisclosed),51.919438,19.145136,X,Parabolic Dish,134.0
Utah Tech Earth Station,Utah Tech University,University,"St. George, Utah, USA",37.1028746,-113.56541,,Cross Yagi (UHF),823.0
Um Alaish 4,Orbital Space,Company,"Um Alaish, Kuwait (approximate)",29.8085971,47.7286327,,Dish Antenna (likely),33.0
Turtle Island Space Ground Station,Turtle Island Space,Company,"Noordwijk, Netherlands (SBIC Noordwijk)",52.2399885,4.4500094,,Unknown,1.0
ASU Tempe Campus Ground Station,Arizona State University,University,"Tempe, Arizona, USA",33.4165625,-111.9346609,"S, X, L",10ft Dish and dual 2m-band yagis,360.0
Potential Ground Station Name,University/Research Institution/Startup Name,Research Institution,"City, Region, Senegal",14.497401,-14.452362,,Unknown,50.0
University of Sierra Leone Ground Station (Potential),University of Sierra Leone,University,"Freetown, Sierra Leone",8.4770089,-13.2214709,,unknown,257.0
Mahanakorn University of Technology (MUT) Ground Station,Mahanakorn University of Technology,University,"Bangkok, Thailand",13.8422302,100.8554904,,unknown,7.0
Air University Ground Station,Air University,University,Islamabad,33.713832,73.024654,,unknown,571.0
UTEP Satellite Ground Station,University of Texas at El Paso (UTEP),University,"El Paso, Texas, USA",31.7785184,-106.1838325,,Parabolic Dish & Yagi Array,1226.0
CTIC Ground Station (National University of Engineering - UNI),National University of Engineering (UNI),University,"Lima, Peru",-12.0238022,-77.0484059,,Unknown,118.0
USP Nauru Campus Ground Station,University of the South Pacific,University,"Aiwo District, Nauru",-0.5340012,166.9138873,,Unknown,25.0
UPTC Ground Station,Universidad Pedagógica y Tecnológica de Colombia (UPTC),University,"Universidad Pedagógica y Tecnológica de Colombia (UPTC), Tunja",5.5520095,-73.3566646,,unknown,2694.0
Daka Space Technologies Ground Station,Daka Space Technologies (DST) LTD,Company,"Blantyre, Malawi",-15.7879694,35.0133228,,unknown,1034.0
University of Zambia (UNZA) Ground Station,University of Zambia,University,"Lusaka, Zambia",-15.3934745,28.3271246,,unknown,1261.0
Técnico Lisboa Ground Station (Taguspark Campus),Instituto Superior Técnico (University of Lisbon),University,"Oeiras, Portugal (Taguspark Campus)",38.7406149,-9.3041717,,unknown,180.0
All Nations University Space Systems Technology Laboratory (ANU-SSTL) Amateur Ground Station,All Nations University,University,"Koforidua, Ghana",6.0949324,-0.2560458,,unknown,181.0
BRAC University Ground Station,BRAC University,University,"Mohakhali, Dhaka, Bangladesh",23.7805115,90.4074633,,Unknown,18.0
International Space University (ISU) Ground Station,International Space University,University,"Strasbourg, France",48.5234429,7.736957,,unknown,140.0
ASCC Potential Ground Station,American Samoa Community College,University,"Mapusaga, American Samoa (Likely)",-14.3222987,-170.7419422,,unknown,52.0
ESOC-3,ESA,Space Agency,"Darmstadt, Germany (ESOC)",49.8708073,8.6227563,S,Offset Parabolic Dish,130.0
Aussaguel Station,CNES,Space Agency,"Aussaguel, France",43.429268,1.5015989,"S, X",Parabolic Dish,207.0
Kashgar Ground Station,Kashgar,Research Institution,"Kashgar, Xinjiang, China",39.4677199,75.99381,"S, X",Parabolic Dish Array,1295.0
"Atlas Chitose, Japan",ATLAS,Company,"Chitose, Japan",42.8212867,141.6510125,"S, X",3.4m,15.0
MIT-WPU Ground Station,MIT World Peace University (MIT-WPU),University,"Pune, Maharashtra",18.5177559,73.8151112,,unknown,606.0
Université des Antilles,Université des Antilles,University,Guadeloupe and Martinique,16.2242724,-61.5289325,,unknown,20.0
Castle Rock Teleport,INTELSAT,Company,"Castle Rock, Colorado, USA",39.3788787,-104.8560901,"C, Ku, Ka",Parabolic Dish,1983.0
"Atlas Dundee, Scotland",ATLAS,Company,"Dundee, Scotland",56.462018,-2.970721,"S, X",3.7m,17.0
"Atlas Dubai, United Arab Emirates",ATLAS,Company,"Dubai, United Arab Emirates",25.2048493,55.2707828,"S, X",3.7m,0.0
"Atlas Harmon, Guam",ATLAS,Company,"Harmon, Guam",13.5012706,144.8065938,"S, X",3.7m,46.0
"Atlas Mojave, CA, USA",ATLAS,Company,"Mojave, CA, USA",35.0475381,-118.1706661,"S, X",3.0m,838.0
"Atlas Utqiagvik (Barrow), AK, USA",ATLAS,Company,"Utqiagvik (Barrow), AK, USA",71.2905556,-156.7886111,"S, X",3.7m,0.0
Skolkovo Innovation Center Ground Station,Skolkovo Innovation Center,Company,"Moscow, Russia",55.6934239,37.3432388,"X, S",Parabolic Dish,190.0
Western Michigan University Ground Station,Western Michigan University - Western Aerospace Launch Initiative (WALI),University,"Kalamazoo, Michigan, USA",42.2837337,-85.6102506,,Unknown,258.0
Rutgers University Ground Station (RUCOOL),Rutgers University,University,"New Brunswick, New Jersey, USA",40.479273,-74.4369932,,Unknown,41.0
"Atlas Tahiti, French Polynesia",ATLAS,Company,"Tahiti, French Polynesia",-17.6509195,-149.4260421,"S, X",3.7m,420.0
Baikonur Cosmodrome,ROSCOSMOS,Space Agency,"Baikonur, Kazakhstan",45.6128811,63.3057681,,Not specified,95.0
COMSAT Southbury Teleport,COMSAT (Goonhilly Group),Company,"Southbury, Connecticut, USA",41.451766,-73.289344,"C, L, Ka, Ku",Unknown,37.0
CatSat Ground Station,University of Arizona,University,"Tucson, Arizona, USA",32.2539787,-110.9741769,,Cross Polarized Yagi,723.0
ASU Space Tracking Station,Arizona State University (ASU),University,"Tempe, Arizona, USA",33.4179694,-111.9285014,"S, X, L",10ft Dish and dual 2m-band yagis,358.0
Cajun Advanced Picosatellite Experiment (CAPE) Ground Station,University of Louisiana at Lafayette,University,"Lafayette, Louisiana, USA",30.2111218,-92.0209652,,Unknown,13.0
"Atlas Paumalu, Hawaii, USA",ATLAS,Company,"Paumalu, Hawaii, USA",21.6718129,-158.0394621,"S, X",7.3m,14.0
Ventspils International Radio Astronomy Centre (VIRAC),Ventspils University of Applied Sciences,University,"Ventspils, Latvia",13.6193864,124.1754442,"S, X, Ka",Parabolic Dish,32.0
"University of Florida Ground Station (Likely, Details Unknown)",University of Florida,University,"Gainesville, Florida, USA (Approximate)",29.6465428,-82.3533266,,Unknown,28.0
"Atlas Mwulire, Rwanda",ATLAS,Company,"Mwulire, Rwanda",-1.9766468,30.4043546,"S, X",9.3m,1636.0
UniClOGS (University Class Open Ground Station),"Portland State Aerospace Society (PSAS), Portland State University",University,"Portland, Oregon, USA",45.515232,-122.6783853,,Unknown,46.0
UMass Lowell Ground Station (Olney Science Center),University of Massachusetts Lowell,University,"Lowell, Massachusetts, USA",42.6551977,-71.3255603,,Patch Array,45.0
Yangambi Research Station,Congolese Institute for Agronomic Research (INERA),Research Institution,"Yangambi, Democratic Republic of the Congo",0.8070691,24.4529792,,Unknown,440.0
"Atlas Sodankylä, Finland*",ATLAS,Company,"Sodankylä, Finland*",67.415999,26.5889727,"S, X",7.3m,0.0
Neustrelitz Ground Station,DLR,Space Agency,"Neustrelitz, Germany",53.3593708,13.0743314,"S, X, Ka",Parabolic Dish,70.0
MIT Haystack Observatory,MIT,University,"Westford, Massachusetts, USA",42.6233874,-71.4881645,"S, X, Ka",Radio Telescope,128.0
UNL Research Ground Station (Potential),University of Nebraska-Lincoln,University,"Lincoln, Nebraska, USA (Approximate UNL Location)",40.8180708,-96.7017603,,Unknown,361.0
OreSat Ground Station,Portland State Aerospace Society (PSAS),University,"Portland State University, Portland, Oregon, USA",45.5111153,-122.6833385,,Handheld,57.0
CONTEC Ground Station (Jeju Island),CONTEC,Company,"Jeju Island, South Korea",33.3785614,126.5661908,"S, X, VHF, UHF",Unknown,1239.0
Brown University Ground Station,Brown University,University,"Providence, Rhode Island, USA",41.8267718,-71.4025482,,Unknown,45.0
K7MSU Ground Station,Montana State University,University,"Bozeman, Montana, USA",45.6793119,-111.037259,,VHF/UHF Yagi antenna array,1470.0
"Atlas Öjebyn, Sweden",ATLAS,Company,"Öjebyn, Sweden",65.342949,21.3968857,"S, X, Ka",7.3m,0.0
"Atlas North Pole, Alaska, USA",ATLAS,Company,"North Pole, Alaska, USA",64.7552465,-147.353425,"S, X, Ka",7.3m,0.0
Cheia Ground Station,EUMETSAT,"<span data-type=""intl_org"" class=""sc-fTmHRu eFxvc""International Organization","Cheia, Romania",45.4581462,25.9382467,S,Parabolic Dish,886.0
Space Operations Center (COPE),COMAE,Government Institution,"Brasília, Distrito Federal, Brazil",-15.858406,-47.8995208,"S, X",Various,1059.0
University Class Open Ground Station (UniClOGS),Portland State Aerospace Society (PSAS),University,"Portland State University Engineering Building, Portland, Oregon, USA",45.509223,-122.6808946,,Configurable,61.0
DC Blox Myrtle Beach Data Center,DC Blox,Company,"Myrtle Beach, South Carolina, USA",33.6747929,-78.9425936,,Unknown,1.0
Ohio University Bobcat-1 GS,Ohio University,University,"Athens, Ohio, USA",39.3250119,-82.1031139,,Yagi (UHF),199.0
Vermont State University (VTSU) CubeSat Lab Ground Station,Vermont State University,University,"Randolph, Vermont, USA (Approximate)",43.9247446,-72.6656948,,Unknown,213.0
"Atlas Stockholm, Sweden*",ATLAS,Company,"Stockholm, Sweden*",59.3327036,18.0656255,"S, X",5.4m,30.0
Burum,INMARSAT,Company,"Burum, Netherlands",53.2733128,6.2299369,"L, Ka",Parabolic Dish,1.0
Virginia Tech Ground Station (VTGS),Virginia Tech,University,"Blacksburg, Virginia, USA",37.2283843,-80.4234167,,"Yagi-Uda, Parabolic Dish",631.0
Old Dominion University Ground Station (ODUGS),Old Dominion University,University,"Norfolk, Virginia, USA",36.8839664,-76.3039779,,Unknown,15.0
University of Auckland Ground Station,University of Auckland,University,"Auckland, New Zealand",-36.8508827,174.7644881,,RF Ground Station,30.0
"Atlas Dublin, Ireland*",ATLAS,Company,"Dublin, Ireland*",53.3303362,-6.2645968,"S, X",5.4m,23.0
SpaceX Kuparuk,SpaceX,Company,"Kuparuk, Alaska, USA",70.4244444,-148.8708332,Ka,Phased Array,0.0
"Atlas Guildford, United Kingdom",ATLAS,Company,"Guildford, United Kingdom",51.23622,-0.570409,"S, X",5.4m,60.0
AUB Ground Station (Hypothetical),American University of Beirut (AUB),University,"Beirut, Lebanon",33.9024626,35.4821829,,Unknown,9.0
TRISAT Ground Station,TRISAT,Research Institution,"Maribor, Slovenia",46.5546503,15.6458812,"S, UHF, VHF",Parabolic Dish,272.0
ICT University Tiny-GS Ground Station,ICT University,University,"Yaounde, Cameroon",3.9527694,11.5166647,,Unknown,696.0
INRAS Ground Station (Pontifical Catholic University of Peru - PUCP),Pontifical Catholic University of Peru (PUCP),University,"Santa María Campus, Lima, Peru",-12.0466888,-77.0430886,,Yagi-array,137.0
ITC Ground Station,Institute of Technology of Cambodia (ITC),University,"Phnom Penh, Cambodia",11.5563738,104.9282099,,Unknown,22.0
INIA Research Ground Station,National Agricultural Research Institute (INIA),Research Institution,"Canelones, Uruguay",-34.5246844,-56.2812104,,Unknown,32.0
Onsala Space Observatory Ground Station,Chalmers University of Technology,University,"Onsala, Sweden",57.3958096,11.9265034,"S, X, Ka",Parabolic Dish,14.0
CURTS Ground Station (Mohammed V University),Mohammed V University,University,"Rabat, Morocco",33.999061,-6.8436164,,Unknown,45.0
Chelmos Observatory Optical Ground Station,National Observatory of Athens,Research Institution,"Mount Chelmos, Northern Peloponnese, Greece",37.349722,22.352222,,Optical Telescope,887.0
UNC Research Ground Station,University of New Caledonia,University,"Nouméa, New Caledonia",-22.2629042,166.4032884,,Unknown,16.0
Fez Ground Station (Dhar El Mahraz University),Dhar El Mahraz University,University,"Fez, Morocco",34.0334371,-4.9768663,,Unknown,422.0
Skinakas Observatory Optical Ground Station,Foundation for Research and Technology - Hellas (FORTH),Research Institution,"Mount Ida (Psiloritis), Crete, Greece",35.2117919,24.8980388,,Optical Telescope,1743.0
Esrange University Ground Station,Luleå University of Technology,University,"Esrange Space Center, Kiruna, Sweden",67.8557995,20.2252821,"S, X",Parabolic Dish,0.0
Argentina SNP,OneWeb,Company,"Buenos Aires, Argentina",-34.6036739,-58.3821215,,Parabolic Dish,29.0
Attisat Ground Station,Attisat,Company,"Athens, Greece",37.9595665,23.6931844,,Unknown,22.0
NCST Satellite Telemetry Ground Station,Technical University of Moldova (UTM),University,"Kishinev, Moldova",47.0104529,28.8638103,,Unknown,39.0
Falkland Islands Community School Ground Station,Falkland Islands Community School,University,"Stanley, Falkland Islands",-51.6931263,-57.8710414,,Unknown,23.0
Polytechnic University of Tirana Ground Station (Potential),Polytechnic University of Tirana,University,"Tirana, Albania (Approximate)",41.316766,19.8215501,,Unknown,118.0
University of Juba Ground Station,University of Juba,University,"Juba, South Sudan",4.8409282,31.5904999,,Unknown,501.0
CPUT Ground Station,Cape Peninsula University of Technology (CPUT),University,"Cape Town, South Africa",-33.922087,18.4231418,,Unknown,15.0
CCRF Ground Station,Georgia Institute of Technology,University,"Atlanta, Georgia, USA (Georgia Tech Campus)",33.7779791,-84.3979638,,Unknown,291.0
ERIS - Chetumal,El Colegio de la Frontera Sur (ECOSUR),Research Institution,"Chetumal, Mexico",18.5001889,-88.296146,,Unknown,7.0
Van Leer Ground Station,Georgia Institute of Technology,University,"Atlanta, Georgia, USA (Georgia Tech Campus)",33.7759943,-84.397137,,Unknown,294.0
University of Sarajevo Ground Station,University of Sarajevo,University,"Sarajevo, Bosnia and Herzegovina",43.8568576,18.4189278,,Yagi-Uda,548.0
USP Tarawa Ground Station,University of the South Pacific,University,"Tarawa, Kiribati",1.4518171,172.9716617,,Yagi-Uda,0.0
UPJS Ground Station,Pavol Jozef Šafárik University in Košice,University,"Košice, Slovakia",48.735755,21.2384843,,Unknown,224.0
HKU Laboratory for Space Research (LSR) Ground Station,University of Hong Kong,University,"Hong Kong University, Hong Kong",22.2830891,114.1365621,,Unknown,92.0
Swiss Optical Ground Station and Geodynamics Observatory Zimmerwald (SwissOGS),Astronomical Institute of the University of Bern (AIUB),University,"Zimmerwald, Switzerland",46.8816986,7.4718342,,Optical Telescope,843.0
CUHK Institute of Space and Earth Information Science (ISEIS) Ground Receiving Station,Chinese University of Hong Kong,University,"Chinese University of Hong Kong, Hong Kong",22.421305,114.2068,,7.5m Antenna,145.0
RISE Ground Station,InSpace Engineering (RISE),Company,"Bucharest, Romania",44.4267674,26.1025384,,Unknown,73.0
Orion Astropreneur Space Academy (OASA) Ground Station,Orion Astropreneur Space Academy (Hong Kong) Limited,Company,"Kowloon, Hong Kong",22.3185673,114.1796057,,Unknown,34.0
"Atlas Portland, Oregon, USA*",ATLAS,Company,"Portland, Oregon, USA*",45.5517776,-122.6628845,"S, X",5.4m,59.0
University of Macau Satellite Ground Station,University of Macau,University,"Taipa, Macau",22.1634311,113.5575308,,Unknown,73.0
University of Dar es Salaam Ground Station (Potential),University of Dar es Salaam,University,"Dar es Salaam, Tanzania",-6.7791817,39.204323,,Unknown,92.0
University of Vaasa Ground Station,University of Vaasa,University,"Vaasa, Finland (Palosaari campus)",63.1049396,21.5933289,,Unknown,0.0
University of Surrey Ground Station (Collaborative),Algerian Space Agency (ASAL) & University of Surrey (Collaboration),University,"Oran, Algeria (Likely Location)",35.6987388,-0.6349319,,Unknown,109.0
NorthBase-1 Ground Station,NorthBase Oy,Company,"Tampere, Finland",61.4971456,23.7525985,"VHF, UHF",Yagi antennas,0.0
"Atlas Obihiro, Japan",ATLAS,Company,"Obihiro, Japan",42.9233354,143.197199,"S, X, Ka",7.3m,40.0
IAC Ground Station,Instituto de Astrofísica de Canarias (IAC),Research Institution,"Tenerife, Canary Islands, Spain",28.2915637,-16.6291304,,Radio Telescope,2513.0
IAA Ground Station,Instituto de Astrofísica de Andalucía (IAA),Research Institution,"Granada, Andalusia, Spain",37.1617806,-3.5902299,,Radio Telescope,684.0
NTNU Ground Station,Norwegian University of Science and Technology (NTNU),University,"Trondheim, Norway",63.4305149,10.3950528,,UHF/S-Band,0.0
UiT Narvik Ground Station,UiT The Arctic University of Norway (Narvik Campus),University,"Narvik, Norway",68.436098,17.434807,,Unknown,0.0
IE University Ground Station,IE University,University,"Segovia, Castile and León, Spain",40.9528852,-4.1188364,,Unknown,951.0
IBV Ground Station,Instituto de Biomecánica de Valencia (IBV),Research Institution,"Valencia, Valencian Community, Spain",39.4676566,-0.3443919,,Unknown,11.0
IrbGS Ground Station,IrbGS,Company,"Irbene, Latvia",57.5579092,21.8571504,"S, X",Parabolic Dish,14.0
"Atlas Columbus, Ohio, USA*",ATLAS,Company,"Columbus, Ohio, USA*",39.9888491,-83.1427413,"S, X",5.4m,279.0
Optical Communications Ground Station,Australian National University (ANU),University,"Mt Stromlo, Canberra, ACT",-35.3161616,149.0104742,,Optical Telescope,784.0
Yass Ground Station,UNSW Canberra Space & Cingulan Space,University,"Yass, NSW",-34.8277755,148.9083038,,S-Band and UHF,499.0
Startups Ground Stations (No Specific Found),Spanish Startups (General),Company,"Madrid, Community of Madrid, Spain (Generic Startup Location)",40.4167279,-3.7032905,,Unknown,659.0
Tashkent State Technical University Ground Station,Tashkent State Technical University,University,"Tashkent, Uzbekistan",41.3525405,69.2067382,,Unknown,440.0
Sharif University of Technology,Sharif University of Technology,University,"Tehran, Iran",35.7036491,51.3517033,,Unknown,1195.0
COM-FSM Ground Station (Example),College of Micronesia-FSM,University,"Palikir, Pohnpei, Federated States of Micronesia",6.9087761,158.1593972,,Unknown,95.0
"Geophysics Institute, University of Tehran - Esphahan Station",University of Tehran,University,"Esphahan, Esfahan, Iran",32.6538966,51.6659656,,Dobson Spectrometer/Brewer Ozonometer,1578.0
GAUSS Srl Ground Station,GAUSS Srl,Company,"Rome, Italy",41.9694879,12.4998006,"UHF, VHF",Yagi Antenna,23.0
Contec Ireland Ground Station,Contec,Company,Ireland (Specific location not specified),53.7797554,-7.3055309,,unknown,76.0
Hypothetical University Ground Station,National University of [Example],University,"Buenos Aires, Argentina (Example)",-34.6036739,-58.3821215,,Unknown,29.0
ITU-CSCRS Ground Station,Istanbul Technical University (ITU),University,"Istanbul, Turkey",41.1022209,29.0260288,,VSAT/Remote Sensing Antenna,91.0
"Atlas Seoul, South Korea*",ATLAS,Company,"Seoul, South Korea*",37.550263,126.9970831,"S, X",5.4m,149.0
NHAZCA S.r.l. Ground Station,NHAZCA S.r.l.,Company,"Rome, Italy",41.9040833,12.5040018,,Synthetic Aperture Radar (SAR),75.0
Bazoomq Ground Station,Bazoomq Space Research Laboratory,Company,"Yerevan, Armenia",40.2401526,44.5016959,,Unknown,1189.0
University of Nottingham Ground Station,University of Nottingham,University,"Nottingham, Nottinghamshire, England, UK",52.9387922,-1.1981057,S,Parabolic Dish,60.0
AAU CubeSat Ground Station,Aalborg University,University,"Aalborg University, Aalborg, Denmark",57.0139858,9.9845553,,Unknown,13.0
Norvegia Research Station,Norwegian Polar Institute,Government Institution,"Nyrøysa, Bouvet Island",-54.4207915,3.3464497,,Unknown,539.0
UTM Ground Station,"University of Technology, Mauritius",University,"La Tour Koenig, Pointe-aux-Sables, Mauritius",-20.1765564,57.4703783,,Unknown,33.0
University of Strathclyde Ground Station ( احتمالی ),University of Strathclyde,University,"Glasgow, Scotland, UK",55.8565757,-4.2571294,,Unknown,12.0
Surrey Space Centre Ground Station,University of Surrey,University,"Guildford, Surrey, England, UK",51.2433916,-0.5881428,"S, X",Parabolic Dish,56.0
Hello Space Ground Station,Hello Space,Company,"Istanbul, Turkey",41.0082376,28.9783589,,Unknown,37.0
Al-Farabi Kazakh National University Ground Station,Al-Farabi Kazakh National University,University,"Almaty, Kazakhstan",43.2252602,76.9225805,,Unknown,868.0
CONTEC Ground Station (Seoul),CONTEC,Company,"Seoul, South Korea",37.5348248,126.9956688,X,Unknown,61.0
DIT Ground Station,Dili Institute of Technology,University,"Dili, Timor-Leste",-8.5667055,125.5443472,,Yagi-Uda,31.0
National Taiwan Ocean University (NTOU) Ground Station,National Taiwan Ocean University (NTOU),University,"Keelung, Taiwan",25.1507696,121.77303,,Yagi antenna,13.0
Kyung Hee University Ground Station,Kyung Hee University,University,"Yongin, South Korea",37.2361653,127.1891246,"S, UHF, VHF",Unknown,99.0
University of Bucharest Ground Station (UHF),University of Bucharest,University,"Bucharest, Romania",44.4356833,26.1018426,,Yagi-Uda,86.0
University of Bucharest Ground Station (S-band),University of Bucharest,University,"Cluj-Napoca, Carpathian Mountains, Romania",46.7712101,23.6236353,S,Parabolic Dish,341.0
University of Alabama Ground Station (Tuscaloosa),University of Alabama,University,"Tuscaloosa, Alabama, USA",33.2114385,-87.5401002,,unknown,73.0
University of South Alabama Ground Station,University of South Alabama,University,"Mobile, Alabama, USA",30.6959406,-88.184236,,unknown,57.0
University of Chile Ground Station,University of Chile,University,"Santiago, Chile",-33.3977867,-70.6562753,,Unknown,526.0
Auburn University Ground Station,Auburn University,University,"Auburn, Alabama, USA",32.6047841,-85.4852488,,unknown,215.0
University Ground Station (Likely),Unspecified University,University,China (Specific location unknown),35.86166,104.195397,,Unknown,1841.0
"Atlas Pendergrass, Georgia, USA",ATLAS,Company,"Pendergrass, Georgia, USA",34.1623292,-83.6779473,"S, X",5.4m,267.0
NED University of Engineering and Technology (NED UET),NED University of Engineering and Technology (NED UET),University,Karachi,24.9300102,67.1153478,,unknown,53.0
Cal Poly Earth Stations (PolySat),California Polytechnic State University (Cal Poly),University,"San Luis Obispo, California, USA",35.3025146,-120.6650087,"VHF, UHF, S",Yagi,92.0
USC Space Engineering Research Center (SERC) Ground Station,University of Southern California (USC),University,"Los Angeles, California, USA",34.0206254,-118.2896937,,"4.5 meter dish, Yagi",63.0
"Atlas Deadhorse, Alaska, USA*",ATLAS,Company,"Deadhorse, Alaska, USA*",70.2001996,-148.4597191,"S, X",5.4m,0.0
Mission Operations Center (MOC),Pennsylvania State University,University,"Pennsylvania State University, State College, PA, USA",40.7982133,-77.8599084,,unknown,352.0
"Atlas Mingenew, Australia*",ATLAS,Company,"Mingenew, Australia*",-29.1901805,115.4420525,"S, X",5.0m,159.0
"Atlas Zallaq, Bahrain*",ATLAS,Company,"Zallaq, Bahrain*",26.0490701,50.4884244,"S, X",5.4m,4.0
Sanya Receiving Station,CNSA,Research Institution,"Sanya, Hainan, China",18.2524799,109.51209,X,Parabolic Dish,10.0
Kunming Receiving Station,CNSA,Space Agency,"Kunming, Yunnan, China",25.01377,102.72383,X,Parabolic Dish,1898.0
Tokyo Satellite Station,JAXA,Space Agency,"Tokyo, Japan",35.6812996,139.7670658,"S, X, Ka",Parabolic Dish,9.0
Jiamusi Ground Station,CNSA,Space Agency,"Jiamusi, Heilongjiang, China",46.7997599,130.31882,"S, X",Parabolic Dish,81.0
Nihon University Ground Station,Nihon University,University,"Funabashi Campus, Chiba Prefecture",35.6945485,139.9827277,,"Yagi-Uda Antenna, GP Antenna",12.0
Dubai Satellite Station,MBRSC,Government Institution,"Dubai, United Arab Emirates",25.2048493,55.2707828,"S, X",Parabolic Dish,0.0
Awarua Satellite Station,SpaceOps NZ,Company,"Awarua, New Zealand",-46.492307,168.3808456,"S, X, Ka",Parabolic Dish,11.0
Azores Satellite Station,ESA,Space Agency,"Azores, Portugal",37.7412488,-25.6755944,"S, X",Parabolic Dish,23.0
Mauritius ISTRAC Ground Station,ISRO,Space Agency,"Port Louis, Mauritius",-20.1608912,57.5012222,"S, X",Parabolic Dish,4.0
Bengaluru ISTRAC Ground Station,ISRO,Space Agency,"Bengaluru, India",13.0341547,77.5124033,"S, X, C",Parabolic Dish,915.0
Romove Ground Station,Romove,Company,"Ventspils, Latvia",57.4088355,21.620621,"S, X",Parabolic Dish,10.0
GLONASS Ground Station - Managua,ROSCOSMOS,Space Agency,"Managua, Nicaragua",12.1149926,-86.2361744,,Not specified,162.0
Misasa Deep Space Station (MDSS),JAXA,Space Agency,"Saku, Nagano Prefecture, Japan",36.2487978,138.47685,"S, X",Cassegrain Antenna with Shaped Reflector,685.0
GARS O’Higgins,DLR,Space Agency,Antarctic Peninsula,-63.3209373,-57.9000592,"S, X",Parabolic Dish,0.0
Usuda Deep Space Center (UDSC),JAXA,Space Agency,"Saku, Nagano Prefecture, Japan",36.1331387,138.362026,"S, X, Ka",Cassegrain Beam-Waveguide Antenna,1461.0
Katsuura Tracking and Communications Station,JAXA,Space Agency,"Katsuura, Chiba Prefecture, Japan",35.1522272,140.3208833,X,Parabolic Dish,42.0
Masuda Tracking and Communications Station,JAXA,Space Agency,"Masuda, Kagoshima Prefecture, Japan",30.5693947,131.0091482,,Parabolic Dish,102.0
Daejeon Ground Station,KARI,Space Agency,"Daejeon, South Korea",36.332326,127.434211,"S, X",Parabolic Dish,56.0
Okinawa Tracking and Communications Station,JAXA,Space Agency,"Okinawa Prefecture, Japan",26.5004194,127.9035221,,Parabolic Dish,102.0
SpaceX Boca Chica,SpaceX,Company,"Boca Chica, Texas, USA",25.9971731,-97.1523372,Ka,Phased Array,6.0
Kamisaibara Space Guard Center,JAXA,Space Agency,"Kamisaibara, Okayama Prefecture, Japan",35.312125,133.9413977,,Radar Antenna,749.0
Fuchsstadt Teleport,INTELSAT,Company,"Fuchsstadt, Germany",50.1182766,9.9231034,"C, Ku, Ka",Parabolic Dish,190.0
Micronesia Ground Station,KARI,Space Agency,Micronesia,7.425554,150.550812,"S, X",Parabolic Dish,0.0
Lario Ground Station,EUMETSAT,"<span data-type=""intl_org"" class=""sc-fTmHRu eFxvc""International Organization","Lario, Italy",46.0160486,9.2571676,S,Parabolic Dish,198.0
Elfordstown Earthstation,National Space Centre Ltd.,Company,"Midleton, County Cork, Ireland",51.9534167,-8.1762056,"C, Ku, Ka, S",Parabolic Dish,92.0
Lino Lakes,INMARSAT,Company,"Lino Lakes, USA",45.1602442,-93.0888324,"L, Ka",Parabolic Dish,271.0
BridgeComm Optical Ground Station,"BridgeComm, Inc.",Company,"Denver, Colorado, USA (Likely)",39.7553663,-104.9775024,,Optical,1597.0
Riverside Teleport,INTELSAT,Company,"Riverside, California, USA",33.9806005,-117.3754942,"C, Ku, Ka",Parabolic Dish,264.0
SpaceX Merrillan,SpaceX,Company,"Merrillan, Wisconsin, USA",44.4510731,-90.8412561,Ka,Phased Array,283.0
Perth,INMARSAT,Company,"Perth, Australia",-31.9514294,115.8617055,"L, Ka",Parabolic Dish,23.0
